time,Fx_sim,Fy_sim,Fz_sim
0.262,6.44359,6.80E-12,32.7446
0.264,6.44359,6.80E-12,32.8546
0.266,5.58973,6.05E-12,33.3705
0.268,6.44359,6.80E-12,33.139
0.27,6.44359,6.80E-12,33.3085
0.272,3.16647,4.55E-12,21.9698
0.274,3.16647,4.55E-12,21.9291
0.276,3.16647,4.55E-12,21.9088
0.278,3.16647,4.55E-12,21.8986
0.28,3.16647,4.55E-12,21.8936
0.282,0,0,0.198737
0.284,0,0,0.197468
0.286,0,0,0.196834
0.288,0,0,0.196517
0.29,0,0,0.196358
0.292,0,0,0.196279
0.294,0,0,0.19624
0.296,0,0,0.19622
0.298,0,0,0.19621
0.3,0,0,0.196205
0.302,0,0,0.196202
0.304,0,0,0.196201
0.306,0,0,0.196201
0.308,0,0,0.1962
0.31,0,0,0.1962
0.312,0,0,0.1962
0.314,0,0,0.1962
0.316,0,0,0.1962
0.318,0,0,0.1962
0.32,0,0,0.1962
0.322,0,0,0.1962
0.324,0,0,0.1962
0.326,0,0,0.1962
0.328,0,0,0.1962
0.33,0,0,0.1962
0.332,0,0,0.1962
0.334,0,0,0.1962
0.336,0,0,0.1962
0.338,0,0,0.1962
0.34,0,0,0.1962
0.342,0,0,0.1962
0.344,0,0,0.1962
0.346,0,0,0.1962
0.348,0,0,0.1962
0.35,0,0,0.1962
0.352,0,0,0.1962
0.354,0,0,0.1962
0.356,0,0,0.1962
0.358,0,0,0.1962
0.36,0,0,0.1962
0.362,0,0,0.1962
0.364,0,0,0.1962
0.366,0,0,0.1962
0.368,0,0,0.1962
0.37,0,0,0.1962
0.372,0,0,0.1962
0.374,0,0,0.1962
0.376,0,0,0.1962
0.378,0,0,0.1962
0.38,0,0,0.1962
0.382,0,0,0.1962
0.384,0,0,0.1962
0.386,0,0,0.1962
0.388,0,0,0.1962
0.39,0,0,0.1962
0.392,0,0,0.1962
0.394,0,0,0.1962
0.396,0,0,0.1962
0.398,0,0,0.1962
0.4,0,0,0.1962
0.402,0,0,0.1962
0.404,0,0,0.1962
0.406,0,0,0.1962
0.408,0,0,0.1962
0.41,0,0,0.1962
0.412,0,0,0.1962
0.414,0,0,0.1962
0.416,0,0,0.1962
0.418,0,0,0.1962
0.42,0,0,0.1962
0.422,0,0,0.1962
0.424,0,0,0.1962
0.426,0,0,0.1962
0.428,0,0,0.1962
0.43,0,0,0.1962
0.432,0,0,0.1962
0.434,0,0,0.1962
0.436,0,0,0.1962
0.438,0,0,0.1962
0.44,0,0,0.1962
0.442,0,0,0.1962
0.444,0,0,0.1962
0.446,0,0,0.1962
0.448,0,0,0.1962
0.45,0,0,0.1962
0.452,0,0,0.1962
